CCAA,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,40,605,1515,228,53
Aragón,22,192,424,64,33
Asturias,5,133,486,142,12
Baleares,4,60,246,43,14
C. Valenciana,50,476,1363,258,84
Canarias,7,139,348,61,29
Cantabria,2,92,215,71,9
Castilla La Mancha,84,635,1423,379,65
Castilla y León,55,575,1466,319,85
Cataluña,122,1681,4203,933,298
Ceuta,0,0,5,0,0
Extremadura,12,65,354,57,6
Galicia,9,168,739,161,29
La Rioja,15,128,564,67,17
Madrid,804,7388,8921,1756,767
Melilla,0,8,25,1,1
Murcia,1,61,240,36,14
Navarra,9,222,664,110,25
País Vasco,85,654,1725,260,71
ESPAÑA,1326,13282,24926,4946,1612
