CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,92,144,1843,3793,387,148
Aragón,8,58,693,1338,222,114
Asturias,52,29,339,900,59,47
Baleares,67,22,237,755,95,46
C. Valenciana,73,198,1422,3532,332,252
Canarias,20,27,328,878,94,61
Cantabria,19,21,355,810,139,29
Castilla La Mancha,153,367,2707,3934,551,273
Castilla y León,423,252,1791,4132,644,228
Cataluña,2348,880,8545,12940,1348,1187
Ceuta,0,0,2,17,7,2
Extremadura,33,69,277,1231,262,41
Galicia,67,43,557,2322,407,98
La Rioja,62,55,388,1236,241,43
Madrid,5044,2412,13580,19243,2077,1312
Melilla,0,1,18,42,3,2
Murcia,12,15,209,714,118,53
Navarra,70,58,732,1641,230,75
País Vasco,814,207,2270,4601,655,154
ESPAÑA,9357,4858,36293,64059,7871,4165
