doc,Edad,Infectados,Hospitalizados,UCI,Fallecidos
53,0_9,64,15,0,0
53,10_19,123,10,0,1
53,20_29,724,78,4,1
53,30_39,1258,192,7,1
53,40_49,1487,262,10,3
53,50_59,1603,377,26,7
53,60_69,1338,528,49,15
53,70_79,1237,607,39,42
53,80_89,1348,726,16,217
54,0_9,65,15,0,0
54,10_19,130,13,1,1
54,20_29,751,87,5,1
54,30_39,1352,213,7,3
54,40_49,1645,298,11,3
54,50_59,1766,415,31,8
54,60_69,1465,602,53,18
54,70_79,1294,665,44,47
54,80_89,1092,600,16,150
55,0_9,67,16,0,0
55,10_19,133,16,1,1
55,20_29,803,99,5,1
55,30_39,1424,223,7,3
55,40_49,1759,320,12,3
55,50_59,1910,457,31,7
55,60_69,1561,652,54,20
55,70_79,1395,745,48,48
55,80_89,1176,655,17,159
56,0_9,80,19,0,0
56,10_19,167,21,1,1
56,20_29,1139,144,7,0
56,30_39,1967,294,13,4
56,40_49,2690,528,30,10
56,50_59,3032,775,53,7
56,60_69,2516,1087,100,41
56,70_79,2152,1224,97,84
56,80_89,1843,1045,22,230
57,0_9,82,19,,
57,10_19,170,20,,
57,20_29,1186,132,,
57,30_39,2037,293,,
57,40_49,2798,533,,
57,50_59,3178,808,,
57,60_69,2636,1157,,
57,70_79,2258,1328,,
57,80_89,1949,1114,,
57,90_+,830,401,,
58,0_9,83,19,0,0
58,10_19,174,20,1,1
58,20_29,1228,140,8,0
58,30_39,2148,314,13,4
58,40_49,2973,580,32,10
58,50_59,3368,869,67,8
58,60_69,2790,1238,110,45
58,70_79,2396,1416,125,95
58,80_89,2076,1181,23,258
58,90_+,891,416,0,129
59,0_9,96,26,1,0
59,10_19,195,25,1,1
59,20_29,1693,218,9,0
59,30_39,2957,486,18,5
59,40_49,4143,886,38,16
59,50_59,4751,1293,83,18
59,60_69,3903,1804,146,75
59,70_79,3422,2176,155,213
59,80_89,2820,1699,24,467
59,90_+,1074,544,0,215
60,0_9,98,26,1,0
60,10_19,197,26,1,1
60,20_29,1749,221,9,0
60,30_39,3069,503,21,5
60,40_49,4265,903,44,16
60,50_59,4897,1330,87,19
60,60_69,4014,1863,157,78
60,70_79,3519,2232,160,209
60,80_89,2892,1738,28,475
60,90_+,1096,551,0,221
61,0_9,119,35,1,1
61,10_19,208,29,0,1
61,20_29,1808,229,10,0
61,30_39,3237,540,30,6
61,40_49,4539,985,51,18
61,50_59,5295,1472,109,27
61,60_69,4329,2037,214,96
61,70_79,3800,2446,207,261
61,80_89,3148,1933,43,568
61,90_+,1199,608,0,259
62,0_9,114,33,1,1
62,10_19,211,29,0,1
62,20_29,1840,232,10,0
62,30_39,3275,540,30,7
62,40_49,4593,979,52,18
62,50_59,5337,1485,115,29
62,60_69,4369,2037,215,97
62,70_79,3841,2466,214,265
62,80_89,3240,1957,44,579
62,90_+,1230,616,0,264
63,0_9,116,36,2,1
63,10_19,223,39,1,1
63,20_29,2233,270,11,1
63,30_39,4028,642,30,7
63,40_49,5731,1204,64,20
63,50_59,6740,1876,130,43
63,60_69,5330,2559,209,111
63,70_79,4636,3078,222,333
63,80_89,4279,2559,51,743
63,90_+,1775,848,2,389
64,0_9,117,36,2,1
64,10_19,228,40,1,1
64,20_29,2279,275,11,1
64,30_39,4113,657,31,8
64,40_49,5849,1245,68,19
64,50_59,6887,1937,134,43
64,60_69,5449,2640,224,115
64,70_79,4742,3172,239,352
64,80_89,4397,2632,51,777
64,90_+,1824,868,2,405
65,10_19,228,40,1,1
65,20_29,2279,275,11,1
65,30_39,4113,657,31,8
65,40_49,5849,1245,68,19
65,50_59,6887,1937,134,43
65,60_69,5449,2640,224,115
65,70_79,4742,3172,239,352
65,80_89,4397,2632,51,777
65,90_+,1824,868,2,405
65,Total,35885,13502,763,1722
66,0_9,131,42,3,1
66,10_19,258,53,1,1
66,20_29,2889,370,16,2
66,30_39,5131,899,44,10
66,40_49,7178,1686,94,28
66,50_59,8715,2680,185,59
66,60_69,6790,3479,315,169
66,70_79,5820,4184,306,509
66,80_89,5424,3410,57,1033
66,90_+,2221,1083,4,517
67,0_9,123,35,2,1
67,10_19,265,58,2,1
67,20_29,2911,391,21,1
67,30_39,5153,924,45,8
67,40_49,7248,1719,101,19
67,50_59,8788,2708,185,45
67,60_69,6833,3484,315,119
67,70_79,5887,4178,302,364
67,80_89,5469,3397,55,821
67,90_+,2248,1087,6,430
