Grupo de,Unnamed: 0,Unnamed: 1,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,130,"35 0,5",1,,"0,2",,0,"0,0 0,0"
10-19,226,"20 0,3",1,,"0,2",,1,"0,1 0,4"
20-29,1352,"200 2,6",10,,"1,7",,4,"0,5 0,3"
30-39,2386,"431 5,6",18,,"3,1",,5,"0,6 0,2"
40-49,3190,"778 10,1",45,,"7,9",,9,"1,0 0,3"
50-59,3433,"1074 13,9",106,,"18,5",,22,"2,5 0,6"
60-69,3179,"1432 18,6",162,,"28,3",,74,"8,5 2,3"
70-79,3304,"1858 24,1",192,,"33,5",,184,"21,1 5,6"
80-89,2545,"1470 19,1",34,,"5,9",,403,"46,3 15,8"
90 y +,726,"401 5,2",4,,"0,7",,169,"19,4 23,3"
Total,20.471,7.699 100%,573,,100%,,871,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Mujeres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,65,"15 0,5",0,,"0,0",,0,"0,0 0,0"
10-19,130,"13 0,4",1,,"0,6",,1,"0,3 0,8"
20-29,751,"87 2,8",5,,"3,0",,1,"0,3 0,1"
30-39,1352,"213 6,9",7,,"4,2",,3,"1,0 0,2"
40-49,1645,"298 9,6",11,,"6,5",,3,"1,0 0,2"
50-59,1766,"415 13,3",31,,"18,5",,8,"2,5 0,5"
60-69,1465,"602 19,4",53,,"31,5",,18,"5,7 1,2"
70-79,1294,"665 21,4",44,,"26,2",,47,"14,9 3,6"
80-89,1092,"600 19,3",16,,"9,5",,150,"47,6 13,7"
90 y +,406,"201 6,5",0,,"0,0",,84,"26,7 20,7"
Total,9.966,3.109 100%,168,,100%,,315,100%
,,,,,,,,
,,,,,,,,
Grupo de,,Hombres,,,,,,
edad,Confirmados,Hospitalizados totales,,,UCI,,,Fallecidos
(años),n,n %,n,,%,,n,% Letalidad(%)
0-9,65,"20 0,4",1,,"0,2",,0,"0,0 0,0"
10-19,96,"7 0,2",0,,"0,0",,0,"0,0 0,0"
20-29,599,"111 2,4",5,,"1,2",,3,"0,5 0,5"
30-39,1034,"218 4,8",11,,"2,7",,2,"0,4 0,2"
40-49,1541,"477 10,4",34,,"8,4",,6,"1,1 0,4"
50-59,1664,"658 14,4",74,,"18,3",,14,"2,5 0,8"
60-69,1711,"829 18,1",109,,"27,0",,56,"10,1 3,3"
70-79,2010,"1193 26,0",148,,"36,6",,137,"24,6 6,8"
80-89,1453,"870 19,0",18,,"4,5",,253,"45,5 17,4"
90 y +,320,"200 4,4",4,,"1,0",,85,"15,3 26,6"
Total,9.736,4.167 100,349,,100,,518,100
