Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,Total,,,,
edad,,,,,,,,
,,Hospitalizados,,,,,,
(años),Confirmados,,,UCI,,,,Fallecidos
,,totales,,,,,,
,n,n %,n,%,n,,,% Letalidad(%)
0-9,181,"46 0,3",1,"0,1",0,,,"0,0 0,0"
10-19,312,"36 0,3",1,"0,1",1,,,"0,1 0,3"
20-29,2.011,"295 2,1",16,"1,3",4,,,"0,3 0,2"
30-39,3.575,"655 4,6",41,"3,3",7,,,"0,5 0,2"
40-49,5.242,"1.348 9,5",99,"8,0",19,,,"1,4 0,4"
50-59,6.030,"2.044 14,4",205,"16,6",35,,,"2,6 0,6"
60-69,5.633,"2.784 19,6",360,"29,1",119,,,"8,7 2,1"
70-79,5.620,"3.575 25,2",454,"36,7",319,,,"23,3 5,7"
80-89,4.267,"2.654 18,7",55,"4,4",608,,,"44,5 14,2"
90 y +,1.378,"735 5,2",5,"0,4",255,,,"18,7 18,5"
Total,34.249,14.172 100%,1237,100%,1367,,,"100% 4,0"
,,,,,,,,
Grupo de,,,,,,,,
,,,Mujeres,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,,n %,,,n,% Letalidad(%)
0-9,82,"19 0,3",,"0 0,0",,,0,"0,0 0,0"
10-19,170,"20 0,3",,"1 0,3",,,1,"0,2 0,6"
20-29,1.186,"132 2,3",,"7 2,0",,,0,"0,0 0,0"
30-39,2.037,"293 5,0",,"13 3,7",,,4,"0,8 0,2"
40-49,2.798,"533 9,2",,"30 8,5",,,10,"1,9 0,4"
50-59,3.178,"808 13,9",,"63 17,8",,,7,"1,4 0,2"
60-69,2.636,"1.157 19,9",,"103 29,2",,,44,"8,5 1,7"
70-79,2.258,"1.328 22,9",,"113 32,0",,,89,"17,2 3,9"
80-89,1.949,"1.114 19,2",,"23 6,5",,,239,"46,2 12,3"
90 y +,830,"401 6,9",,"0 0,0",,,123,"23,8 14,8"
Total,17.124,5.805 100%,,353 100%,,,517,"100% 3,0"
Grup o de,,,,,,,,
,,,Hombres,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,,n %,,,n,% Letalidad(%)
0-9,99,"27 0,3",,"1 0,1",,,0,"0,0 0,0"
10-19,142,"16 0,2",,"0 0,0",,,0,"0,0 0,0"
20-29,822,"161 1,9",,"9 1,0",,,4,"0,5 0,5"
30-39,1.538,"362 4,3",,"28 3,2",,,3,"0,4 0,2"
40-49,2.444,"815 9,7",,"69 7,8",,,9,"1,1 0,4"
50-59,2.850,"1.235 14,8",,"141 16,0",,,28,"3,3 1,0"
60-69,2.995,"1.627 19,5",,"257 29,1",,,75,"8,8 2,5"
70-79,3.360,"2.245 26,8",,"341 38,6",,,230,"27,1 6,8"
80-89,2.318,"1.540 18,4",,"32 3,6",,,369,"43,4 15,9"
90 y +,548,"334 4,0",,"5 0,6",,,132,"15,5 24,1"
Total,17.116,8.362 100%,,883 100%,,,850,"100% 5,0"
