Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,Total,,,
edad,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,Fallecidos
,n,n %,n %,,n,% Letalidad(%)
0-9,212,"65 0,3","3 0,2",,0,"0,0 0,0"
10-19,368,"49 0,2","2 0,1",,1,"0,0 0,3"
20-29,2.883,"451 2,0","22 1,2",,6,"0,2 0,2"
30-39,5.351,"1.099 4,8","65 3,7",,10,"0,4 0,2"
40-49,7.965,"2.252 9,8","146 8,2",,36,"1,3 0,5"
50-59,9.390,"3.431 14,9","295 16,6",,78,"2,8 0,8"
60-69,8.744,"4.609 20,0","555 31,2",,232,"8,3 2,7"
70-79,8.625,"5.869 25,5","620 34,9",,759,"27,3 8,8"
80-89,6.255,"4.137 18,0","68 3,8",,1216,"43,7 19,4"
90 y +,1.833,"1.026 4,5","3 0,2",,446,"16,0 24,3"
Total,51.626,22.988 100%,1779 100%,,2784,100%
,,,,,,
,,,,,,
Grupo de,,,,,,
,,,Mujeres,,,
edad,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,Fallecidos
,n,n %,n %,,n,% Letalidad(%)
0-9,98,"26 0,3","1 0,2",,0,"0,0 0,0"
10-19,197,"26 0,3","1 0,2",,1,"0,1 0,5"
20-29,1.749,"221 2,4","9 1,8",,0,"0,0 0,0"
30-39,3.069,"503 5,4","21 4,1",,5,"0,5 0,2"
40-49,4.265,"903 9,6","44 8,7",,16,"1,6 0,4"
50-59,4.897,"1.330 14,2","87 17,1",,19,"1,9 0,4"
60-69,4.014,"1.863 19,8","157 30,9",,78,"7,6 1,9"
70-79,3.519,"2.232 23,8","160 31,5",,209,"20,4 5,9"
80-89,2.892,"1.738 18,5","28 5,5",,475,"46,4 16,4"
90 y +,1.096,"551 5,9","0 0,0",,221,"21,6 20,2"
Total,25.796,9.393 100%,508 100%,,1.024,100%
,,,,,,
Grup o de,,,,,,
,,,Hombres,,,
edad,,,,,,
(años),Confirmados,Hospitalizados totales,UCI,,,Fallecidos
,n,n %,n %,,n,% Letalidad(%)
0-9,113,"39 0,3","2 0,2",,0,"0,0 0,0"
10-19,168,"23 0,2","1 0,1",,0,"0,0 0,0"
20-29,1.130,"228 1,7","13 1,0",,6,"0,3 0,5"
30-39,2.281,"596 4,4","44 3,5",,5,"0,3 0,2"
40-49,3.696,"1.346 9,9","101 8,0",,20,"1,1 0,5"
50-59,4.490,"2.100 15,5","207 16,3",,59,"3,4 1,3"
60-69,4.727,"2.745 20,2","398 31,4",,154,"8,8 3,3"
70-79,5.105,"3.634 26,8","460 36,2",,550,"31,3 10,8"
80-89,3.362,"2.398 17,7","40 3,2",,740,"42,1 22,0"
90 y +,737,"475 3,5","3 0,2",,225,"12,8 30,5"
Total,25.809,13.584 100%,1.269 100%,,1.759,100%
