Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,250,"86 0,3",7,"0,3",,,0,"0,0 0,0"
10-19,434,"72 0,2",3,"0,1",,,1,"0,0 0,2"
20-29,3.590,"546 1,7",29,"1,2",,,6,"0,1 0,2"
30-39,6.853,"1.376 4,3",86,"3,5",,,18,"0,4 0,3"
40-49,10.551,"3.039 9,5",215,"8,7",,,49,"1,1 0,5"
50-59,12.722,"4.795 15,0",432,"17,5",,,131,"3,0 1,0"
60-69,11.657,"6.511 20,3",779,"31,6",,,373,"8,6 3,2"
70-79,11.368,"8.114 25,3",820,"33,2",,,1176,"27,0 10,3"
80-89,8.857,"5.929 18,5",92,"3,7",,,1879,"43,1 21,2"
90 y +,2.895,"1.563 4,9",6,"0,2",,,728,"16,7 25,1"
Total,69.177,32.031 100%,2469,100%,,,4361,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,116,"36 0,3",2,"0,3",,,1,"0,1 0,9"
10-19,223,"39 0,3",1,"0,1",,,1,"0,1 0,4"
20-29,2.233,"270 2,1",11,"1,5",,,1,"0,1 0,0"
30-39,4.028,"642 4,9",30,"4,2",,,7,"0,4 0,2"
40-49,5.731,"1.204 9,2",64,"8,9",,,20,"1,2 0,3"
50-59,6.740,"1.876 14,3",130,"18,0",,,43,"2,6 0,6"
60-69,5.330,"2.559 19,5",209,"28,9",,,111,"6,7 2,1"
70-79,4.636,"3.078 23,5",222,"30,7",,,333,"20,2 7,2"
80-89,4.279,"2.559 19,5",51,"7,1",,,743,"45,1 17,4"
90 y +,1.775,"848 6,5",2,"0,3",,,389,"23,6 21,9"
Total,35.091,13.111 100%,722,100%,,,1.649,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,135,"50 0,3",5,"0,3",,,0,"0,0 0,0"
10-19,210,"33 0,2",2,"0,1",,,0,"0,0 0,0"
20-29,1.356,"274 1,4",18,"1,0",,,5,"0,2 0,4"
30-39,2.824,"734 3,9",56,"3,2",,,12,"0,4 0,4"
40-49,4.822,"1.833 9,7",150,"8,5",,,32,"1,1 0,7"
50-59,5.979,"2.918 15,4",301,"17,1",,,94,"3,3 1,6"
60-69,6.320,"3.949 20,9",570,"32,4",,,274,"9,5 4,3"
70-79,6.727,"5.032 26,6",597,"34,0",,,887,"30,9 13,2"
80-89,4.577,"3.370 17,8",54,"3,1",,,1205,"41,9 26,3"
90 y +,1.119,"715 3,8",4,"0,2",,,364,"12,7 32,5"
Total,34.069,18.908 100%,1.757,100%,,,2.873,100%
